country,incomeperperson,internetuserate
Afghanistan,200.10123,3.654121623
Albania,1914.996551,44.98994696
Algeria,2231.993335,12.50007331
Andorra,21943.3399,81.1
Angola,1381.004268,9.999953883
Antigua and Barbuda,11894.46407,80.64545455
Argentina,10749.41924,36.00033495
Armenia,1326.741757,44.00102458
Aruba,15203.12141,41.80088889
Australia,25249.98606,75.8956538
Austria,26692.98411,72.73157554
Azerbaijan,2344.896916,46.67970157
Bahamas,19630.54055,42.98458017
Bahrain,12505.21254,54.99280903
Bangladesh,558.0628766,3.70000326
Barbados,9243.587053,70.02859927
Belarus,2737.670379,32.05214391
Belgium,24496.04826,73.73393447
Belize,3545.652174,12.64573333
Benin,377.0396995,3.129961803
Bermuda,62682.14701,84.65451409
Bhutan,1324.194906,13.59887603
Bolivia,1232.794137,20.00171014
Bosnia and Herzegovina,2183.344867,52.00206064
Botswana,4189.436587,5.999835575
Brazil,4699.411262,40.650098
Brunei,17092.46,49.98997494
Bulgaria,2549.558474,45.98658991
Burkina Faso,276.200413,1.4000607
Burundi,115.3059959,2.100212706
Cambodia,557.9475126,1.259933609
Cameroon,713.6393027,3.999977346
Canada,25575.35262,81.33839269
Cape Verde,1959.844472,29.99993952
Cayman Islands,360707.3124,66.3
Central African Rep.,239.5187494,2.300026653
Chad,275.8842865,1.700031496
Chile,6334.105194,45.5
China,2425.471293,34.37778952
Colombia,3233.42378,36.49987464
Comoros,336.3687495,5.098265306
Democratic Republic of the Congo,103.7758572,0.720008677
Republic of the Congo,1253.292015,4.999875093
Cook Islands,8026.135124,54.55
Costa Rica,5188.900935,36.49911472
Cote d'Ivoire,591.0679443,2.599973655
Croatia,6338.494668,60.11970702
Cuba,4495.046262,15.89997034
Cyprus,15313.85935,53.02474483
Czech Rep.,7381.312751,68.63813347
Denmark,30532.27704,88.77025387
Djibouti,895.3183396,6.49792351
Dominica,6147.77961,47.28043603
Dominican Rep.,4049.169629,39.53127426
Ecuador,1728.020976,28.99947674
Egypt,1975.551906,26.74002538
El Salvador,2557.433638,15.89998203
Equatorial Guinea,8654.536845,6.003437143
Eritrea,131.796207,5.399666997
Estonia,6238.537506,74.1630403
Ethiopia,220.8912479,0.74999585
Faeroe Islands,28167.34693,75.2
Fiji,2230.676374,14.83073588
Finland,27110.73159,86.89884451
France,22878.46657,77.49861935
French Polynesia,7840.3937,48.95732841
Gabon,4180.765821,7.232224246
Gambia,354.5997263,9.196775477
Georgia,1258.762596,26.29725148
Germany,25306.18719,82.52689791
Ghana,358.9795398,9.549930701
Gibraltar,37895.52525,65.4
Greece,13577.87989,44.57007444
Greenland,20751.89342,63.84915272
Grenada,5330.401612,33.61668288
Guadeloupe,10399.59181,62.5
Guam,14135.433,80.5
Guatemala,1860.753895,10.49994819
Guinea,411.5014473,0.999958926
Guinea-Bissau,161.3171371,2.450362244
Guyana,1200.652075,29.87992146
Haiti,371.4241975,8.370206884
Honduras,1392.411829,11.09076463
Hong Kong,35536.07247,71.84912394
Hungary,5634.003948,65.16325092
Iceland,33945.31442,95.63811321
India,786.7000981,7.499995878
Indonesia,1143.831514,9.900038672
Iran,2161.54651,13.00011072
Iraq,736.2680538,2.471948347
Ireland,27595.09135,69.77039441
Israel,22275.75166,65.38778594
Italy,18982.26929,53.7402166
Jamaica,3665.348369,26.47722324
Japan,39309.47886,77.63853515
Jordan,2534.00038,38.88120159
Kazakhstan,2481.718918,33.38212816
Kenya,468.6960436,25.8997967
Kiribati,760.262365,8.95914
South Korea,16372.49978,82.515928
Kuwait,9918.56723,38.26023355
Kyrgyzstan,372.728414,19.58231645
Laos,554.8798401,6.999880342
Latvia,5011.219456,71.51472354
Lebanon,6746.612632,31.00437828
Lesotho,495.7342469,3.860565398
Liberia,155.0332312,7.000213821
Libya,7885.468037,14.00024673
Liechtenstein,81647.10003,80.2
Lithuania,5332.238591,62.81190001
Luxembourg,52301.58718,90.07952663
Macao,33923.31387,56.76408235
Macedonia,2221.185664,51.91418432
Madagascar,242.6775342,1.699985145
Malawi,184.1417966,2.259975885
Malaysia,5184.709328,56.3000337
Maldives,4038.857818,28.28970095
Mali,269.8928811,2.699966448
Malta,11066.78414,63.07799279
Marshall Islands,2437.282445,54.2
Martinique,17697.7854,58.3
Mauritania,609.1312059,2.999803179
Mauritius,5182.143721,28.7318835
Mexico,6105.280743,31.05001287
Micronesia Fed. Sts.,2146.358593,20.01153153
Moldova,595.8745345,40.1222347
Monaco,105147.4377,97.1
Mongolia,772.9333448,12.90000468
Montenegro,2222.335052,51.95803797
Morocco,1844.351028,49.00063184
Mozambique,389.7636343,4.170136385
Myanmar,475.987213,44.5
